employee_id,checkin_time,checkout_time
E101,2026-05-18 09:05:00,2026-05-18 18:10:00
E102,2026-05-18 09:25:00,2026-05-18 18:00:00
E103,2026-05-18 08:55:00,2026-05-18 17:45:00
E104,2026-05-18 09:15:00,2026-05-18 18:20:00
E105,2026-05-18 09:00:00,2026-05-18 17:50:00
E106,2026-05-18 09:10:00,2026-05-18 18:05:00
E107,2026-05-18 09:20:00,2026-05-18 18:15:00
E108,2026-05-18 08:50:00,2026-05-18 17:40:00
E109,2026-05-18 09:30:00,2026-05-18 18:25:00
E110,2026-05-18 09:05:00,2026-05-18 17:55:00
E111,2026-05-18 09:00:00,2026-05-18 18:00:00
E112,2026-05-18 09:15:00,2026-05-18 18:10:00
E113,2026-05-18 09:25:00,2026-05-18 17:45:00
E114,2026-05-18 08:55:00,2026-05-18 18:20:00
E115,2026-05-18 09:10:00,2026-05-18 17:50:00
E116,2026-05-18 09:20:00,2026-05-18 18:05:00
E117,2026-05-18 09:00:00,2026-05-18 17:55:00
E118,2026-05-18 09:05:00,2026-05-18 18:00:00
E119,2026-05-18 09:15:00,2026-05-18 18:10:00
E120,2026-05-18 09:25:00,2026-05-18 17:45:00
